Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 5866, is of length 7142, mapped to Original, on beginning location of: 2324999
Sequence 5869, is of length 9514, mapped to Original, on beginning location of: 1117956
Sequence 5872, is of length 7088, mapped to Complement, on beginning location of: 1355
Sequence 5875, is of length 4748, mapped to Original, on beginning location of: 57211
Sequence 5878, is of length 13828, mapped to Complement, on beginning location of: 4095228
Sequence 5881, is of length 12432, mapped to Original, on beginning location of: 964950
Sequence 5884, is of length 5469, mapped to Original, on beginning location of: 1893756
Sequence 5887, is of length 3338, mapped to Complement, on beginning location of: 24762
Sequence 5890, is of length 2853, mapped to Original, on beginning location of: 3523187
Sequence 5893, is of length 11261, mapped to Original, on beginning location of: 18430
Sequence 5896, is of length 7091, mapped to Complement, on beginning location of: 3180868
Sequence 5899, is of length 4987, mapped to Complement, on beginning location of: 30704
Sequence 5902, is of length 5780, mapped to Original, on beginning location of: 2880668
Sequence 5905, is of length 6736, mapped to Complement, on beginning location of: 2597668
Sequence 5908, is of length 4901, mapped to Complement, on beginning location of: 4463441
Sequence 5911, is of length 9930, mapped to Original, on beginning location of: 40747
Sequence 5914, is of length 1974, mapped to Complement, on beginning location of: 4189154
Sequence 5917, is of length 7329, mapped to Complement, on beginning location of: 2909488
Sequence 5920, is of length 9439, mapped to Complement, on beginning location of: 3572510
Sequence 5923, is of length 3898, mapped to Complement, on beginning location of: 8611
Sequence 5926, is of length 10424, mapped to Original, on beginning location of: 15519
Sequence 5929, is of length 5819, mapped to Original, on beginning location of: 591034
Sequence 5932, is of length 4042, mapped to Original, on beginning location of: 1867670
Sequence 5935, is of length 4582, mapped to Original, on beginning location of: 2907318
Sequence 5938, is of length 1403, mapped to Original, on beginning location of: 36658
Sequence 5941, is of length 2985, mapped to Complement, on beginning location of: 2138320
Sequence 5944, is of length 7689, mapped to Original, on beginning location of: 4122933
Sequence 5947, is of length 9755, mapped to Complement, on beginning location of: 25321
Sequence 5950, is of length 8503, mapped to Complement, on beginning location of: 1165267
Sequence 5953, is of length 7467, mapped to Complement, on beginning location of: 8622
Sequence 5956, is of length 4064, mapped to Complement, on beginning location of: 3218018
Sequence 5959, is of length 1475, mapped to Original, on beginning location of: 702080
Sequence 5962, is of length 7093, mapped to Original, on beginning location of: 22405
Sequence 5965, is of length 9397, mapped to Original, on beginning location of: 3253552
Sequence 5968, is of length 6538, mapped to Complement, on beginning location of: 3911188
Sequence 5971, is of length 4229, mapped to Original, on beginning location of: 10961
Sequence 5974, is of length 9086, mapped to Original, on beginning location of: 1177728
Sequence 5977, is of length 11962, mapped to Original, on beginning location of: 19357
Sequence 5980, is of length 6076, mapped to Original, on beginning location of: 437574
Sequence 5983, is of length 7342, mapped to Original, on beginning location of: 1369780
Sequence 5986, is of length 8606, mapped to Original, on beginning location of: 3722262
Sequence 5989, is of length 6820, mapped to Complement, on beginning location of: 4071176
Sequence 5992, is of length 8746, mapped to Complement, on beginning location of: 3278468
Sequence 5995, is of length 11472, mapped to Complement, on beginning location of: 14277
Sequence 5998, is of length 9228, mapped to Original, on beginning location of: 1940
Sequence 6001, is of length 6945, mapped to Original, on beginning location of: 2957172
Sequence 6004, is of length 3602, mapped to Complement, on beginning location of: 3448426
Sequence 6007, is of length 9991, mapped to Complement, on beginning location of: 32817
Sequence 6010, is of length 11355, mapped to Complement, on beginning location of: 3875664
Sequence 6013, is of length 6359, mapped to Complement, on beginning location of: 755331
Sequence 6016, is of length 6335, mapped to Original, on beginning location of: 43990
Sequence 6019, is of length 2998, mapped to Original, on beginning location of: 3272998
Sequence 6022, is of length 11698, mapped to Complement, on beginning location of: 4415273
Sequence 6025, is of length 13235, mapped to Complement, on beginning location of: 41960
Sequence 6028, is of length 7399, mapped to Complement, on beginning location of: 612757
Sequence 6031, is of length 6828, mapped to Complement, on beginning location of: 3338301
Sequence 6034, is of length 7691, mapped to Original, on beginning location of: 20430
Sequence 6037, is of length 5790, mapped to Complement, on beginning location of: 4733
Sequence 6040, is of length 1417, mapped to Original, on beginning location of: 2436780
Sequence 6043, is of length 11696, mapped to Complement, on beginning location of: 37546
Sequence 6046, is of length 4056, mapped to Complement, on beginning location of: 43511
Sequence 6049, is of length 15040, mapped to Original, on beginning location of: 26494
Sequence 6052, is of length 2068, mapped to Original, on beginning location of: 3741
Sequence 6055, is of length 12616, mapped to Complement, on beginning location of: 1888036
Sequence 6058, is of length 7896, mapped to Complement, on beginning location of: 2485994
Sequence 6061, is of length 8684, mapped to Original, on beginning location of: 17618
Sequence 6064, is of length 7482, mapped to Original, on beginning location of: 16389
Sequence 6067, is of length 10522, mapped to Complement, on beginning location of: 1825423
Sequence 6070, is of length 5964, mapped to Original, on beginning location of: 1147215
Sequence 6073, is of length 17287, mapped to Original, on beginning location of: 3506430
Sequence 6076, is of length 4791, mapped to Original, on beginning location of: 1976378
Sequence 6079, is of length 3296, mapped to Complement, on beginning location of: 1040771
Sequence 6082, is of length 4594, mapped to Original, on beginning location of: 4055262
Sequence 6085, is of length 8181, mapped to Complement, on beginning location of: 4619261
Sequence 6088, is of length 5394, mapped to Complement, on beginning location of: 71902
Sequence 6091, is of length 8749, mapped to Complement, on beginning location of: 1008607
Sequence 6094, is of length 5162, mapped to Complement, on beginning location of: 3405228
Sequence 6097, is of length 5122, mapped to Complement, on beginning location of: 15845
Sequence 6100, is of length 7121, mapped to Complement, on beginning location of: 11990
Sequence 6103, is of length 5803, mapped to Original, on beginning location of: 2928139
Sequence 6106, is of length 10087, mapped to Original, on beginning location of: 80987
Sequence 6109, is of length 1781, mapped to Complement, on beginning location of: 3769008
Sequence 6112, is of length 9185, mapped to Complement, on beginning location of: 36551
Sequence 6115, is of length 6121, mapped to Complement, on beginning location of: 15697
Sequence 6118, is of length 10665, mapped to Complement, on beginning location of: 4107882
Sequence 6121, is of length 12892, mapped to Complement, on beginning location of: 3448268
Sequence 6124, is of length 2277, mapped to Original, on beginning location of: 273
Sequence 6127, is of length 28687, mapped to Original, on beginning location of: 33543
Sequence 6130, is of length 8768, mapped to Complement, on beginning location of: 424
Sequence 6133, is of length 11380, mapped to Complement, on beginning location of: 4304029
Sequence 6136, is of length 9885, mapped to Complement, on beginning location of: 1031505
Sequence 6139, is of length 8813, mapped to Complement, on beginning location of: 42914
Sequence 6142, is of length 8155, mapped to Complement, on beginning location of: 13770
Sequence 6145, is of length 6418, mapped to Original, on beginning location of: 2737135
Sequence 6148, is of length 12508, mapped to Original, on beginning location of: 799149
Sequence 6151, is of length 6429, mapped to Original, on beginning location of: 19400
Sequence 6154, is of length 4247, mapped to Complement, on beginning location of: 1160343
Sequence 6157, is of length 12292, mapped to Complement, on beginning location of: 2564920
Sequence 6160, is of length 8498, mapped to Complement, on beginning location of: 30100
